Time (microseconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
152347500.00,0.291977524757385,-0.316666066646576,0.5,-0.5,0.889271438121796,-0.77176696062088
152555625.00,0.291628986597061,-0.315605789422989,0.5,-0.5,0.829457759857178,-0.792654693126678
152763750.00,0.291079521179199,-0.314539462327957,0.5,-0.5,0.805032968521118,-0.817800760269165
152971875.00,0.290384739637375,-0.313494592905045,0.5,-0.5,0.807387948036194,-0.837928354740143
153180000.00,0.289873361587524,-0.312329679727554,0.5,-0.5,0.781205296516418,-0.878841876983643
153388125.00,0.289259195327759,-0.311307281255722,0.5,-0.5,0.767920613288879,-0.896542727947235
153596250.00,0.288401186466217,-0.310195684432983,0.5,-0.5,0.796126902103424,-0.927403390407562
153804375.00,0.287678420543671,-0.30951452255249,0.5,-0.5,0.804835438728333,-0.891401350498199
154012500.00,0.287056982517242,-0.308689385652542,0.5,-0.5,0.797622740268707,-0.879043281078339
154220625.00,0.286359250545502,-0.307703673839569,0.5,-0.5,0.804515957832336,-0.8956698179245
154428750.00,0.285361170768738,-0.307026833295822,0.5,-0.5,0.865076780319214,-0.856353461742401
154636875.00,0.28440397977829,-0.306841492652893,0.5,-0.5,0.925565600395203,-0.731595754623413
154845000.00,0.283583611249924,-0.306314557790756,0.5,-0.5,0.964042067527771,-0.664618134498596
155053125.00,0.284824371337891,-0.303936153650284,0.5,-0.5,0.655244827270508,-0.914075493812561
155261250.00,0.28406822681427,-0.3030925989151,0.5,-0.5,0.678532302379608,-0.904794454574585
155469375.00,0.283561825752258,-0.302205443382263,0.5,-0.5,0.663740396499634,-0.90634560585022
155677500.00,0.283139258623123,-0.301169902086258,0.5,-0.5,0.634337782859802,-0.936055362224579
155885625.00,0.282768160104752,-0.300178408622742,0.5,-0.5,0.599425137042999,-0.959492087364197
156093750.00,0.282492458820343,-0.299055814743042,0.5,-0.5,0.552121520042419,-0.999481499195099
156301875.00,0.28148478269577,-0.298279017210007,0.5,-0.5,0.626807272434235,-0.981380581855774
156510000.00,0.281169414520264,-0.29725781083107,0.5,-0.5,0.58444881439209,-1.00653219223022
156718125.00,0.280169695615768,-0.296643853187561,0.5,-0.5,0.658316731452942,-0.967961311340332
156926250.00,0.279334843158722,-0.295932918787003,0.5,-0.5,0.705054581165314,-0.941880524158478
157134375.00,0.277195751667023,-0.296849578619003,0.5,-0.5,0.971678256988525,-0.6463543176651
157342500.00,0.276720315217972,-0.296626925468445,0.5,-0.5,0.963806390762329,-0.535661697387695
157550625.00,0.277495563030243,-0.294210344552994,0.5,-0.5,0.748625516891479,-0.793487846851349
157758750.00,0.276977360248566,-0.293234765529633,0.5,-0.5,0.747318923473358,-0.81483381986618
157966875.00,0.276610344648361,-0.292002171278,0.5,-0.5,0.71999055147171,-0.874538958072662
158175000.00,0.276222467422485,-0.291335314512253,0.5,-0.5,0.698880076408386,-0.839720726013184
158383125.00,0.27568444609642,-0.290331095457077,0.5,-0.5,0.703256130218506,-0.864872813224792
158591250.00,0.275198251008987,-0.289361774921417,0.5,-0.5,0.702203154563904,-0.887189924716949
158799375.00,0.274783134460449,-0.288591146469116,0.5,-0.5,0.69039511680603,-0.878971517086029
159007500.00,0.274206191301346,-0.28785452246666,0.5,-0.5,0.705532193183899,-0.861391544342041
159215625.00,0.273041516542435,-0.287390738725662,0.5,-0.5,0.810966730117798,-0.808776140213013
159423750.00,0.27216848731041,-0.286958634853363,0.5,-0.5,0.837044835090637,-0.779937982559204
159631875.00,0.270792067050934,-0.286823898553848,0.5,-0.5,0.945194065570831,-0.699245750904083
159840000.00,0.270078361034393,-0.286779552698135,0.5,-0.5,0.961486876010895,-0.579781115055084
160048125.00,0.270304709672928,-0.285183966159821,0.5,-0.5,0.796255350112915,-0.759501993656158
160256250.00,0.270069122314453,-0.28452455997467,0.5,-0.5,0.717036426067352,-0.764464497566223
160464375.00,0.269611328840256,-0.283625662326813,0.5,-0.5,0.676271021366119,-0.81283175945282
160672500.00,0.268826842308044,-0.282941162586212,0.5,-0.5,0.693923950195313,-0.826140940189362
160880625.00,0.268305003643036,-0.282102555036545,0.5,-0.5,0.666226804256439,-0.864813685417175
161088750.00,0.267845273017883,-0.281410932540894,0.5,-0.5,0.630781292915344,-0.8763028383255
161296875.00,0.267017781734467,-0.280706733465195,0.5,-0.5,0.656602561473846,-0.878045916557312
161505000.00,0.266215533018112,-0.280117869377136,0.5,-0.5,0.678629100322723,-0.891632854938507
161713125.00,0.26557469367981,-0.279675543308258,0.5,-0.5,0.674026787281036,-0.864255785942078
161921250.00,0.263645797967911,-0.280067652463913,0.5,-0.5,0.887527883052826,-0.699210524559021
162129375.00,0.262606054544449,-0.279995381832123,0.5,-0.5,0.949018180370331,-0.614240109920502
162337500.00,0.26196962594986,-0.280233681201935,0.5,-0.5,0.952704727649689,-0.47448918223381
162545625.00,0.262071996927261,-0.278327345848084,0.5,-0.5,0.834734439849854,-0.693808555603027
162753750.00,0.261876672506332,-0.277826368808746,0.5,-0.5,0.7659752368927,-0.678475677967072
162961875.00,0.261239945888519,-0.277183294296265,0.5,-0.5,0.767943024635315,-0.688660323619843
163170000.00,0.260653406381607,-0.27649137377739,0.5,-0.5,0.759122431278229,-0.706668436527252
163378125.00,0.26013109087944,-0.275578528642654,0.5,-0.5,0.743457436561584,-0.760249555110931
163586250.00,0.259780913591385,-0.274956941604614,0.5,-0.5,0.702909886837006,-0.768176198005676
163794375.00,0.259180456399918,-0.274189710617065,0.5,-0.5,0.699264645576477,-0.803397715091705
164002500.00,0.258166402578354,-0.273726969957352,0.5,-0.5,0.768821477890015,-0.788420081138611
164210625.00,0.257924199104309,-0.272980391979218,0.5,-0.5,0.709078311920166,-0.815990447998047
164418750.00,0.256866633892059,-0.272561341524124,0.5,-0.5,0.787621140480042,-0.791094481945038
164626875.00,0.256058096885681,-0.272304773330688,0.5,-0.5,0.829290211200714,-0.737255454063416
164835000.00,0.255210816860199,-0.272264659404755,0.5,-0.5,0.873841226100922,-0.645369589328766
165043125.00,0.254617094993591,-0.272339254617691,0.5,-0.5,0.880741238594055,-0.533882737159729
165251250.00,0.255621552467346,-0.27024045586586,0.5,-0.5,0.618603587150574,-0.785703539848328
165459375.00,0.254954189062119,-0.269485801458359,0.5,-0.5,0.637826979160309,-0.813550591468811
165667500.00,0.254362404346466,-0.268875867128372,0.5,-0.5,0.640357613563538,-0.819216549396515
165875625.00,0.254107922315598,-0.268440246582031,0.5,-0.5,0.589071989059448,-0.795884609222412
166083750.00,0.253712445497513,-0.267616897821426,0.5,-0.5,0.564390361309052,-0.842722833156586
166291875.00,0.252977192401886,-0.266758561134338,0.5,-0.5,0.601101160049438,-0.893821060657501
166500000.00,0.252525091171265,-0.266323387622833,0.5,-0.5,0.587927103042603,-0.873244822025299
166708125.00,0.250718116760254,-0.26695790886879,0.5,-0.5,0.80126816034317,-0.673578262329102
166916250.00,0.25019645690918,-0.266438543796539,0.5,-0.5,0.802802085876465,-0.667415261268616
167124375.00,0.249374389648438,-0.265925496816635,0.5,-0.5,0.856306076049805,-0.660959422588348
167332500.00,0.248678416013718,-0.266092389822006,0.5,-0.5,0.897349298000336,-0.538106203079224
167540625.00,0.248206868767738,-0.266156017780304,0.5,-0.5,0.896591305732727,-0.429228872060776
167748750.00,0.248950839042664,-0.264191567897797,0.5,-0.5,0.690661370754242,-0.663851499557495
167956875.00,0.248311147093773,-0.263567626476288,0.5,-0.5,0.716580152511597,-0.676024258136749
168165000.00,0.248079150915146,-0.262579619884491,0.5,-0.5,0.6718909740448,-0.74660736322403
168373125.00,0.247514680027962,-0.262102723121643,0.5,-0.5,0.684476137161255,-0.735074520111084
168581250.00,0.247207969427109,-0.261481404304504,0.5,-0.5,0.654638171195984,-0.74857097864151
168789375.00,0.246738538146019,-0.260793477296829,0.5,-0.5,0.656505703926086,-0.77276086807251
168997500.00,0.246141284704208,-0.260335981845856,0.5,-0.5,0.697560906410217,-0.751662194728851
169205625.00,0.245645076036453,-0.259840548038483,0.5,-0.5,0.683275818824768,-0.760574758052826
169413750.00,0.245031699538231,-0.259122997522354,0.5,-0.5,0.708282351493835,-0.791316747665405
169621875.00,0.244605466723442,-0.258688509464264,0.5,-0.5,0.706079959869385,-0.772736251354218
169830000.00,0.243822053074837,-0.258493423461914,0.5,-0.5,0.763455927371979,-0.716499149799347
170038125.00,0.243120402097702,-0.258711844682693,0.5,-0.5,0.810319781303406,-0.58387291431427
170246250.00,0.243790179491043,-0.2572340965271,0.5,-0.5,0.628980875015259,-0.73960292339325
170454375.00,0.243815675377846,-0.25650429725647,0.5,-0.5,0.551475584506989,-0.773847043514252
170662500.00,0.243153661489487,-0.255722880363464,0.5,-0.5,0.592003166675568,-0.810726761817932
170870625.00,0.242925524711609,-0.255269587039948,0.5,-0.5,0.555619359016418,-0.795437395572662
171078750.00,0.242728054523468,-0.254632383584976,0.5,-0.5,0.520429253578186,-0.816008329391479
171286875.00,0.242462277412415,-0.253980398178101,0.5,-0.5,0.499975979328156,-0.838261365890503
171495000.00,0.240635126829147,-0.254341602325439,0.5,-0.5,0.73762309551239,-0.694266021251678
171703125.00,0.240386933088303,-0.253764629364014,0.5,-0.5,0.714564263820648,-0.706579566001892
171911250.00,0.239727661013603,-0.253304809331894,0.5,-0.5,0.761935770511627,-0.699893474578857
172119375.00,0.239349737763405,-0.253030240535736,0.5,-0.5,0.760910928249359,-0.665745496749878
172327500.00,0.238591820001602,-0.252681076526642,0.5,-0.5,0.826505661010742,-0.637990117073059
172535625.00,0.238103553652763,-0.252866476774216,0.5,-0.5,0.848944783210754,-0.517556071281433
172743750.00,0.238804742693901,-0.251567631959915,0.5,-0.5,0.676500797271729,-0.646223843097687
172951875.00,0.238740012049675,-0.250596463680267,0.5,-0.5,0.624110281467438,-0.719146609306335
